date,lake,Tmin
01/10/2020,Yuriria,8.2
01/10/2020,Zempoala,3.2
01/11/2020,Chapala,14.8
01/11/2020,Amela,22
01/11/2020,Yuriria,7.4
01/11/2020,Zempoala,1.2
01/12/2020,Chapala,13.9
01/12/2020,Amela,20.5
01/12/2020,Yuriria,6.7
01/12/2020,Zempoala,1
01/01/2021,Chapala,13.2
01/01/2021,Amela,17.8
01/01/2021,Yuriria,5.9
01/01/2021,Zempoala,-0.6
01/02/2021,Chapala,13.9
01/02/2021,Amela,17.6
01/02/2021,Yuriria,5.6
01/02/2021,Zempoala,2.7
01/03/2021,Chapala,15.9
01/03/2021,Amela,17.1
01/03/2021,Yuriria,8.6
01/03/2021,Zempoala,0.3
01/04/2021,Chapala,16.9
01/04/2021,Amela,18.6
01/04/2021,Yuriria,12
01/04/2021,Zempoala,1.5
01/05/2021,Chapala,17.9
01/05/2021,Amela,20.6
01/05/2021,Yuriria,14
01/05/2021,Zempoala,5.8
01/06/2021,Chapala,18.3
01/06/2021,Amela,23.4
01/06/2021,Yuriria,14.3
01/06/2021,Zempoala,8
01/07/2021,Chapala,18
01/07/2021,Amela,23.8
01/07/2021,Yuriria,14.5
01/07/2021,Zempoala,7.4
01/08/2021,Chapala,17.6
01/08/2021,Amela,23.5
01/08/2021,Yuriria,14
01/08/2021,Zempoala,8.3
01/09/2021,Chapala,17.8
01/09/2021,Amela,23.6
01/09/2021,Yuriria,14.3
01/09/2021,Zempoala,8
01/10/2021,Chapala,17.1
01/10/2021,Amela,23.6
01/10/2021,Yuriria,13.4
01/10/2021,Zempoala,6.7
01/11/2021,Chapala,14.7
01/11/2021,Amela,20.7
01/11/2021,Yuriria,7.6
01/11/2021,Zempoala,1.6
01/12/2021,Chapala,13.7
01/12/2021,Amela,19.4
01/12/2021,Yuriria,5.9
01/12/2021,Zempoala,-0.7
01/01/2022,Chapala,14.6
01/01/2022,Amela,19.1
01/01/2022,Yuriria,6.6
01/01/2022,Zempoala,-0.1
01/02/2022,Chapala,14.1
01/02/2022,Amela,20
01/02/2022,Yuriria,8.3
01/02/2022,Zempoala,-0.9
01/03/2022,Chapala,15.4
01/03/2022,Amela,15.3
01/03/2022,Yuriria,9.7
01/03/2022,Zempoala,-0.7
01/04/2022,Chapala,17.4
01/04/2022,Amela,18.4
01/04/2022,Yuriria,12.3
01/04/2022,Zempoala,3.4
01/05/2022,Chapala,18.8
01/05/2022,Amela,20
01/05/2022,Yuriria,14.3
01/05/2022,Zempoala,4.1
01/06/2022,Chapala,18.4
01/06/2022,Amela,23.1
01/06/2022,Yuriria,14.5
01/06/2022,Zempoala,7.3
01/07/2022,Chapala,17.6
01/07/2022,Amela,23.7
01/07/2022,Yuriria,14.2
01/07/2022,Zempoala,8.4
01/08/2022,Chapala,17.4
01/08/2022,Amela,23.3
01/08/2022,Yuriria,13.9
01/08/2022,Zempoala,8.1
01/09/2022,Chapala,17.9
01/09/2022,Amela,23.3
01/09/2022,Yuriria,13.2
01/09/2022,Zempoala,8.2
01/10/2022,Chapala,16.8
01/10/2022,Amela,23
01/10/2022,Yuriria,12.4
01/10/2022,Zempoala,6.7
01/11/2022,Chapala,16
01/11/2022,Amela,21.2
01/11/2022,Yuriria,9.5
01/11/2022,Zempoala,3.6
01/12/2022,Chapala,14
01/12/2022,Amela,19.1
01/12/2022,Yuriria,5.7
01/12/2022,Zempoala,0.2
01/01/2023,Chapala,12.9
01/01/2023,Amela,16.5
01/01/2023,Yuriria,4.7
01/01/2023,Zempoala,-1.5
01/02/2023,Chapala,14.1
